sx  dx  par_0   par_1   par_2
316 342 7000    330 4
700 720 1400    716 4
1006    1024    3400    1015    3
1210    1230    280 1220    6
1314    1328    330 1322    4
2344    2362    690 2354    3
2614    2635    200 2626    4
2912    2934    530 2925    4
3292    3304    370 3300    5
3372    3386    450 3380    4
4280    4298    500 4290    4
