$SPEC_ID:
No sample description was entered.
$SPEC_REM:
DET# 1
DETDESC# DESKTOP-LO9J119 MCB 337
AP# Maestro Version 5.35.01
$DATE_MEA:
01/26/2026 15:38:36
$MEAS_TIM:
429	441
$DATA:
0 8191
	-54.2764	1.67341
	-53.1929	1.65663
	-54.4311	1.6758
	-56.1853	1.70259
	-52.0063	1.63804
	-52.8317	1.65099
	-50.5616	1.61513
	-50.9744	1.62171
	-49.9941	1.60604
	-49.2202	1.59356
	-49.9425	1.60521
	-48.9106	1.58854
	-46.8985	1.55552
	-49.9425	1.60521
	-46.8985	1.55552
	-47.5176	1.56576
	-50.2521	1.61018
	-46.7953	1.55381
	-48.2915	1.57846
	-46.7437	1.55296
	-48.2399	1.57761
	-46.6921	1.5521
	-45.1443	1.52616
	-41.636	1.46566
	-44.68	1.51829
	-46.5889	1.55038
	-41.0684	1.45563
	-42.9774	1.48908
	-41.7391	1.46747
	-41.4812	1.46293
	-41.5328	1.46384
	-43.0806	1.49086
	-41.12	1.45655
	-42.2551	1.47651
	-42.2035	1.47561
	-38.6951	1.41295
	-43.9061	1.50508
	-39.6754	1.43073
	-41.2748	1.45928
	-39.985	1.4363
	-39.6754	1.43073
	-40.7589	1.45014
	-35.9091	1.36113
	-40.3461	1.44277
	-40.7073	1.44922
	-37.818	1.39684
	-37.5601	1.39207
	-37.1473	1.3844
	-39.8818	1.43445
	-40.3977	1.4437
	-36.4766	1.37184
	-37.9212	1.39875
	-37.3021	1.38728
	-35.5995	1.35525
	-35.7543	1.35819
	-37.4569	1.39016
	-36.5798	1.37378
	-35.9607	1.36211
	-36.3218	1.36893
	-35.5479	1.35427
	-34.4645	1.33347
	-34.7224	1.33845
	-36.9925	1.38151
	-33.8969	1.32245
	-37.5601	1.39207
	-36.683	1.37572
	-35.0836	1.34539
	-32.1943	1.28881
	-34.5676	1.33546
	-33.0714	1.30624
	-35.0836	1.34539
	-34.3097	1.33047
	-33.3294	1.31133
	-32.8135	1.30114
	-32.8135	1.30114
	-31.9364	1.28363
	-34.1549	1.32747
	-32.0912	1.28674
	-31.8848	1.28259
	-33.8969	1.32245
	-33.8969	1.32245
	-31.4204	1.27322
	-30.6981	1.2585
	-34.4645	1.33347
	-30.1822	1.24788
	-32.2459	1.28984
	-29.7179	1.23824
	-30.7497	1.25956
	-33.3294	1.31133
	-30.2338	1.24895
	-29.2535	1.22853
	-31.2141	1.26903
	-29.3567	1.2307
	-32.0912	1.28674
	-29.9758	1.24361
	-29.2535	1.22853
	-30.1306	1.24681
	-26.0031	1.15827
	-29.2535	1.22853
	-29.6663	1.23717
	-30.2338	1.24895
	-28.944	1.22201
	-29.0471	1.22419
	-29.5115	1.23394
	-31.2657	1.27008
	-26.6738	1.17311
	-27.3962	1.18889
	-28.9956	1.2231
	-28.9956	1.2231
	-26.8802	1.17764
	-29.7695	1.23932
	-26.6222	1.17198
	-27.7573	1.1967
	-27.1382	1.18328
	-27.0866	1.18216
	-26.8286	1.17651
	-26.3127	1.16515
	-28.1185	1.20446
	-26.9834	1.1799
	-27.4477	1.19001
	-28.9956	1.2231
	-25.5904	1.14904
	-28.3764	1.20997
	-26.3643	1.16629
	-26.2611	1.164
	-27.3446	1.18777
	-26.2611	1.164
	-24.3005	1.11971
	-25.9515	1.15712
	-27.4993	1.19113
	-25.0229	1.13623
	-25.8483	1.15482
	-25.0229	1.13623
	-24.5585	1.12564
	-24.9197	1.13388
	-25.6936	1.15136
	-26.3643	1.16629
	-25.7452	1.15251
	-24.3005	1.11971
	-27.293	1.18665
	-24.8681	1.13271
	-24.9197	1.13388
	-24.9197	1.13388
	-25.0744	1.1374
	-23.8362	1.10896
	-22.9591	1.08837
	-23.2171	1.09446
	-25.3324	1.14324
	-22.7527	1.08346
	-23.3203	1.09689
	-26.8802	1.17764
	-26.3643	1.16629
	-25.5388	1.14788
	-24.6617	1.128
	-25.7968	1.15367
	-25.5904	1.14904
	-25.6936	1.15136
	-27.6025	1.19336
	-24.8165	1.13153
	-25.2808	1.14207
	-26.9834	1.1799
	-23.2687	1.09568
	-25.3324	1.14324
	-22.5464	1.07854
	-24.8165	1.13153
	-25.4872	1.14672
	-24.4037	1.12208
	-25.384	1.1444
	-25.7452	1.15251
	-23.2687	1.09568
	-24.7133	1.12918
	-25.384	1.1444
	-26.6738	1.17311
	-25.3324	1.14324
	-24.9197	1.13388
	-25.5904	1.14904
	-25.7968	1.15367
	-24.9713	1.13506
	-25.0229	1.13623
	-25.7968	1.15367
	-26.3643	1.16629
	-25.1776	1.13974
	-25.2292	1.1409
	-27.3962	1.18889
	-28.428	1.21107
	-25.9515	1.15712
	-25.126	1.13857
	-24.8165	1.13153
	-26.6738	1.17311
	-27.9121	1.20003
	-27.293	1.18665
	-26.0031	1.15827
	-28.3764	1.20997
	-26.8286	1.17651
	-26.0547	1.15942
	-26.3127	1.16515
	-27.035	1.18103
	-26.1063	1.16057
	-27.2414	1.18553
	-24.9197	1.13388
	-28.7376	1.21765
	-25.642	1.1502
	-27.7057	1.19559
	-27.8089	1.19781
	-26.7254	1.17425
	-26.8286	1.17651
	-26.5191	1.16971
	-26.4675	1.16857
	-27.6025	1.19336
	-29.5631	1.23502
	-26.777	1.17538
	-27.9121	1.20003
	-26.9834	1.1799
	-28.2216	1.20667
	-28.1185	1.20446
	-29.7695	1.23932
	-29.9242	1.24254
	-28.8408	1.21983
	-30.1306	1.24681
	-29.1503	1.22636
	-28.9956	1.2231
	-29.5631	1.23502
	-32.6071	1.29704
	-29.7179	1.23824
	-29.0987	1.22528
	-31.6268	1.2774
	-31.1109	1.26693
	-30.337	1.25108
	-31.5236	1.27531
	-30.6465	1.25744
	-30.337	1.25108
	-28.2732	1.20777
	-30.2854	1.25001
	-31.8848	1.28259
	-30.7497	1.25956
	-31.3689	1.27217
	-32.5039	1.29499
	-31.9364	1.28363
	-31.6784	1.27844
	-30.9045	1.26272
	-31.6784	1.27844
	-30.9045	1.26272
	-32.0912	1.28674
	-32.5555	1.29601
	-30.8529	1.26167
	-29.9242	1.24254
	-31.472	1.27427
	-32.1428	1.28777
	-31.8848	1.28259
	-33.3294	1.31133
	-31.5752	1.27635
	-30.6465	1.25744
	-30.6981	1.2585
	-31.7816	1.28052
	-30.5949	1.25638
	-33.381	1.31234
	-35.3931	1.35132
	-34.8772	1.34143
	-35.29	1.34935
	-33.381	1.31234
	-31.3689	1.27217
	-33.0714	1.30624
	-32.7619	1.30012
	-31.7816	1.28052
	-32.8135	1.30114
	-34.2065	1.32847
	-32.9167	1.30318
	-32.7619	1.30012
	-32.1943	1.28881
	-34.0517	1.32546
	-32.9683	1.3042
	-34.0517	1.32546
	-33.3294	1.31133
	-34.1549	1.32747
	-34.1549	1.32747
	-34.1033	1.32646
	-34.1549	1.32747
	-33.6906	1.31841
	-35.3416	1.35033
	-36.0123	1.36308
	-35.5479	1.35427
	-36.7862	1.37765
